entity_id,year,latitude,longitude
1,2012,29.64631,-82.41528
1,2012,29.64631,-82.41528
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
1,2012,29.6465,-82.41524
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
2,2023,29.60716,-82.40582
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
5,2012,29.6872,-82.36945
